user_id,sum_obser,count_obser,sum_ident,count_ident
1,792.0,4.0,1282.0,10.0
5,7.0,1.0,1.0,1.0
17,29.0,1.0,4.0,2.0
28,896.0,3.0,822.0,10.0
36,,,3.0,3.0
48,,,3.0,3.0
160,,,238.0,5.0
172,,,21.0,7.0
181,105.0,3.0,5.0,3.0
305,,,30.0,8.0
351,,,53.0,3.0
354,15.0,1.0,42.0,6.0
377,,,10.0,5.0
382,9.0,1.0,1.0,1.0
425,13.0,1.0,8.0,1.0
462,90.0,1.0,41.0,6.0
477,409.0,4.0,518.0,10.0
481,,,2.0,2.0
484,15.0,1.0,2.0,1.0
498,128.0,4.0,3.0,3.0
504,,,1.0,1.0
505,55.0,3.0,3.0,3.0
516,,,1.0,1.0
517,1.0,1.0,1.0,1.0
520,,,2.0,1.0
536,96.0,3.0,3.0,3.0
541,2.0,1.0,1.0,1.0
549,18.0,2.0,15.0,3.0
554,17.0,3.0,3.0,3.0
561,,,6.0,4.0
567,10.0,2.0,1.0,1.0
604,,,3.0,2.0
640,55.0,1.0,5.0,1.0
642,10.0,1.0,63.0,8.0
648,2.0,2.0,1.0,1.0
671,1.0,1.0,1.0,1.0
714,10.0,4.0,11.0,4.0
716,4.0,2.0,2.0,2.0
810,1.0,1.0,1.0,1.0
819,1777.0,4.0,402.0,6.0
825,1.0,1.0,1.0,1.0
849,2.0,1.0,1.0,1.0
850,,,3.0,3.0
851,63.0,2.0,3.0,3.0
873,1.0,1.0,1.0,1.0
910,136.0,4.0,62.0,5.0
933,,,19.0,1.0
947,,,41.0,3.0
998,1.0,1.0,4.0,2.0
1000,,,1.0,1.0
1045,,,1.0,1.0
1075,2.0,1.0,1.0,1.0
1078,8.0,3.0,3.0,3.0
1115,,,9.0,3.0
1178,,,1.0,1.0
1179,652.0,4.0,46.0,5.0
1213,72.0,4.0,6.0,4.0
1245,2.0,1.0,1.0,1.0
1345,,,1.0,1.0
1400,1.0,1.0,1.0,1.0
1427,4.0,1.0,1.0,1.0
1439,2.0,1.0,1.0,1.0
1453,,,6.0,1.0
1516,,,1.0,1.0
1626,,,15.0,3.0
1766,11.0,1.0,1.0,1.0
1850,1470.0,4.0,603.0,5.0
1907,47.0,1.0,1.0,1.0
1928,160.0,3.0,3.0,3.0
2111,2.0,1.0,4.0,2.0
2136,,,1.0,1.0
2179,397.0,1.0,271.0,6.0
2281,,,1.0,1.0
2291,1.0,1.0,,
2340,26.0,1.0,51.0,3.0
2492,81.0,2.0,10.0,2.0
2527,268.0,3.0,59.0,7.0
2580,147.0,4.0,17.0,4.0
2616,,,365.0,8.0
2622,,,1.0,1.0
2652,,,1.0,1.0
2692,1354.0,4.0,689.0,6.0
2822,5.0,1.0,1.0,1.0
2873,113.0,3.0,20.0,6.0
2934,,,2.0,1.0
2987,167.0,1.0,1.0,1.0
2991,2576.0,4.0,617.0,9.0
3042,,,1.0,1.0
3057,129.0,1.0,150.0,4.0
3070,,,1.0,1.0
3090,,,9.0,5.0
3098,,,20.0,2.0
3152,25.0,2.0,48.0,4.0
3161,2.0,1.0,3.0,3.0
3193,1.0,1.0,1.0,1.0
3204,10.0,1.0,1.0,1.0
3223,48.0,1.0,37.0,2.0
3236,1.0,1.0,1.0,1.0
3243,10.0,1.0,1.0,1.0
3286,3.0,1.0,1.0,1.0
3290,58.0,2.0,5.0,2.0
3309,,,1.0,1.0
3320,,,37.0,2.0
3342,1414.0,3.0,15.0,4.0
3376,,,66.0,8.0
3494,1767.0,4.0,370.0,7.0
3499,,,10.0,3.0
3558,1331.0,4.0,274.0,4.0
3563,1.0,1.0,145.0,6.0
3631,3.0,2.0,4.0,3.0
3707,4.0,1.0,2.0,2.0
3733,,,1.0,1.0
3735,185.0,4.0,22.0,4.0
3747,32.0,1.0,2.0,1.0
3785,,,256.0,9.0
3809,635.0,4.0,299.0,4.0
3883,,,1.0,1.0
4004,1.0,1.0,1.0,1.0
4005,174.0,3.0,26.0,3.0
4079,,,51.0,7.0
4259,53.0,3.0,34.0,7.0
4300,1.0,1.0,1.0,1.0
4425,,,1.0,1.0
4430,17.0,3.0,1.0,1.0
4493,165.0,4.0,13.0,4.0
4501,,,1.0,1.0
4508,80.0,2.0,2.0,2.0
4530,,,3.0,2.0
4576,2.0,1.0,1.0,1.0
4721,40.0,3.0,4.0,3.0
4733,1.0,1.0,1.0,1.0
4784,,,5.0,3.0
4797,22.0,3.0,17.0,3.0
4818,1.0,1.0,,
4819,,,2.0,2.0
4857,183.0,1.0,22.0,3.0
4859,,,3.0,2.0
4862,673.0,2.0,126.0,3.0
4915,31.0,1.0,137.0,7.0
4918,,,2.0,1.0
4939,2.0,1.0,5.0,3.0
5060,,,1.0,1.0
5179,130.0,3.0,102.0,8.0
5180,,,5.0,3.0
5327,547.0,4.0,103.0,4.0
5400,1.0,1.0,1.0,1.0
5420,110.0,2.0,12.0,2.0
5424,,,1.0,1.0
5628,,,1.0,1.0
5643,,,10.0,8.0
5680,11.0,1.0,1.0,1.0
5692,,,13.0,5.0
5772,,,1.0,1.0
5806,26.0,1.0,1.0,1.0
5920,,,1.0,1.0
6097,,,10.0,4.0
6201,7.0,2.0,2.0,2.0
6227,,,1.0,1.0
6235,,,1.0,1.0
6316,139.0,2.0,24.0,3.0
6333,204.0,2.0,98.0,3.0
6432,,,2.0,1.0
6578,,,10.0,3.0
6581,,,1.0,1.0
6624,,,5.0,4.0
6689,25.0,3.0,41.0,4.0
6690,,,10.0,6.0
6692,,,1.0,1.0
6714,29.0,2.0,3.0,2.0
6743,383.0,3.0,36.0,5.0
6755,84.0,3.0,42.0,3.0
6757,10.0,1.0,12.0,2.0
6869,,,40.0,4.0
6930,269.0,4.0,47.0,4.0
6964,,,1.0,1.0
6971,361.0,2.0,329.0,9.0
7302,1692.0,4.0,156.0,4.0
7353,,,71.0,8.0
7366,,,1.0,1.0
7423,10.0,2.0,3.0,2.0
7469,3.0,2.0,3.0,2.0
7504,,,19.0,7.0
7550,7.0,1.0,1.0,1.0
7580,,,14.0,6.0
7581,6.0,1.0,33.0,1.0
7592,14.0,1.0,1.0,1.0
7639,,,1.0,1.0
7757,82.0,2.0,30.0,5.0
7781,136.0,1.0,1.0,1.0
7824,14.0,1.0,1.0,1.0
7893,,,14.0,2.0
8060,,,31.0,4.0
8094,66.0,1.0,12.0,1.0
8172,4.0,2.0,2.0,2.0
8173,3.0,1.0,1.0,1.0
8180,,,5.0,4.0
8371,107.0,2.0,2.0,2.0
8488,,,6.0,1.0
8506,,,2.0,2.0
8510,117.0,4.0,6.0,4.0
8614,,,20.0,5.0
8641,,,4.0,3.0
8652,3.0,3.0,2.0,2.0
8706,108.0,3.0,11.0,6.0
8778,1842.0,4.0,959.0,6.0
8815,,,1.0,1.0
8826,,,1.0,1.0
8882,,,28.0,9.0
8917,,,1.0,1.0
9335,1191.0,4.0,68.0,5.0
9476,22.0,1.0,1.0,1.0
9494,6.0,1.0,1.0,1.0
9572,613.0,3.0,105.0,4.0
9638,140.0,1.0,33.0,3.0
9645,,,3.0,2.0
9706,,,115.0,8.0
9815,,,10.0,2.0
10015,3.0,1.0,49.0,2.0
10129,1.0,1.0,3.0,3.0
10201,176.0,3.0,7.0,3.0
10264,28.0,3.0,3.0,3.0
10285,,,126.0,9.0
10299,9.0,1.0,2.0,2.0
10326,,,3.0,3.0
10356,1.0,1.0,,
10415,1.0,1.0,1.0,1.0
10553,,,1.0,1.0
10564,,,1.0,1.0
10586,,,1.0,1.0
10738,,,4.0,3.0
10787,,,286.0,9.0
10794,,,1.0,1.0
10803,3.0,1.0,1.0,1.0
10814,665.0,4.0,559.0,4.0
10815,1.0,1.0,,
10871,4.0,1.0,1.0,1.0
10911,,,1.0,1.0
10980,,,54.0,7.0
10999,337.0,2.0,119.0,3.0
11007,1.0,1.0,3.0,1.0
11060,12.0,2.0,298.0,8.0
11253,,,1.0,1.0
11340,,,1.0,1.0
11389,3.0,2.0,2.0,2.0
11548,1.0,1.0,1.0,1.0
11673,,,6.0,2.0
11700,,,4.0,2.0
11784,,,1.0,1.0
11792,30.0,1.0,3.0,2.0
11840,,,5.0,3.0
11861,,,37.0,6.0
11882,141.0,1.0,157.0,2.0
12045,,,1.0,1.0
12158,,,48.0,2.0
12194,,,1.0,1.0
12497,119.0,3.0,347.0,5.0
12510,,,6.0,2.0
12564,33.0,1.0,3.0,2.0
12636,,,135.0,8.0
12677,191.0,3.0,39.0,2.0
12796,,,1.0,1.0
12809,2603.0,2.0,825.0,8.0
12867,,,19.0,3.0
13200,,,97.0,8.0
13244,3.0,1.0,1.0,1.0
13284,,,10.0,5.0
13355,,,9.0,3.0
13370,736.0,4.0,118.0,7.0
13377,800.0,3.0,1061.0,5.0
13379,,,1.0,1.0
13385,40.0,1.0,1.0,1.0
13405,3.0,1.0,4.0,2.0
13406,,,69.0,5.0
13424,8.0,1.0,1.0,1.0
13425,80.0,2.0,2.0,2.0
13444,,,58.0,5.0
13445,,,9.0,2.0
13593,,,3.0,2.0
13710,42.0,1.0,1.0,1.0
13979,450.0,2.0,65.0,6.0
14004,11.0,1.0,1.0,1.0
14007,5.0,1.0,1.0,1.0
14047,,,15.0,5.0
14284,,,4.0,4.0
14331,152.0,3.0,9.0,3.0
14368,,,1.0,1.0
14405,,,1.0,1.0
14542,7.0,1.0,1.0,1.0
14634,8.0,2.0,3.0,3.0
14744,,,1.0,1.0
14771,55.0,3.0,3.0,3.0
14811,,,8.0,4.0
14818,89.0,2.0,2.0,2.0
14832,,,5.0,2.0
14867,,,1.0,1.0
14936,,,1.0,1.0
14990,5.0,1.0,7.0,3.0
14997,2.0,1.0,1.0,1.0
15030,,,201.0,9.0
15162,71.0,1.0,10.0,1.0
15182,9.0,2.0,2.0,2.0
15206,1058.0,3.0,301.0,3.0
15221,8.0,1.0,2.0,1.0
15232,,,1.0,1.0
15238,,,7.0,1.0
15270,5.0,1.0,,
15329,,,1.0,1.0
15366,,,38.0,4.0
15383,,,2.0,2.0
15419,379.0,4.0,105.0,4.0
15723,,,6.0,2.0
15738,,,1.0,1.0
15745,,,3.0,2.0
15764,50.0,3.0,4.0,3.0
15770,,,2.0,2.0
15796,,,89.0,9.0
15841,1.0,1.0,1.0,1.0
15842,,,3.0,2.0
15945,10.0,3.0,3.0,3.0
15969,1.0,1.0,1.0,1.0
16024,4.0,1.0,1.0,1.0
16034,1.0,1.0,1.0,1.0
16101,1672.0,3.0,241.0,4.0
16130,,,2.0,1.0
16131,128.0,3.0,521.0,8.0
16163,146.0,4.0,5.0,4.0
16176,,,1.0,1.0
16268,,,2.0,2.0
16367,,,2.0,1.0
16404,238.0,3.0,3.0,3.0
16460,143.0,4.0,19.0,4.0
16490,,,38.0,9.0
16510,1.0,1.0,,
16575,,,1.0,1.0
16576,,,18.0,6.0
16603,78.0,1.0,8.0,1.0
16663,32.0,1.0,3.0,1.0
16675,4.0,2.0,2.0,2.0
16724,,,2.0,1.0
16735,,,6.0,2.0
16743,242.0,4.0,22.0,4.0
16744,,,4.0,3.0
16764,2.0,1.0,1.0,1.0
16793,,,3.0,1.0
16800,7.0,2.0,2.0,2.0
16823,,,1.0,1.0
16856,1.0,1.0,1.0,1.0
16900,4.0,2.0,1.0,1.0
16925,,,16.0,2.0
16936,1.0,1.0,1.0,1.0
16988,56.0,2.0,63.0,4.0
17092,104.0,3.0,9.0,4.0
17118,1.0,1.0,1.0,1.0
17194,,,1.0,1.0
17267,,,4.0,1.0
17289,50.0,1.0,1.0,1.0
17336,2.0,1.0,1.0,1.0
17380,,,22.0,3.0
17390,,,1.0,1.0
17395,1.0,1.0,,
17401,,,43.0,6.0
17410,7.0,1.0,1.0,1.0
17521,,,24.0,7.0
17569,2.0,1.0,1.0,1.0
17623,,,2.0,2.0
17627,,,1.0,1.0
17630,380.0,4.0,650.0,7.0
17695,688.0,3.0,2811.0,9.0
17711,,,59.0,7.0
17796,2192.0,4.0,32.0,6.0
17867,6.0,1.0,1.0,1.0
17988,3.0,1.0,1.0,1.0
18004,,,1.0,1.0
18075,3.0,1.0,1.0,1.0
18081,1.0,1.0,1.0,1.0
18108,25.0,1.0,1.0,1.0
18165,3.0,1.0,1.0,1.0
18189,44.0,1.0,1.0,1.0
18190,11.0,2.0,3.0,2.0
18222,,,5.0,4.0
18226,,,15.0,1.0
18314,17.0,1.0,2.0,1.0
18329,29.0,2.0,72.0,4.0
18370,16.0,2.0,2.0,2.0
18469,7.0,1.0,34.0,1.0
18575,4.0,1.0,1.0,1.0
18701,,,14.0,8.0
18706,12.0,2.0,2.0,2.0
18760,2.0,1.0,1.0,1.0
18764,150.0,2.0,2.0,2.0
18777,2.0,2.0,,
18780,,,2.0,2.0
18790,113.0,3.0,1.0,1.0
18846,19.0,2.0,6.0,2.0
18871,11.0,1.0,1.0,1.0
19073,,,289.0,11.0
19080,1.0,1.0,,
19120,,,6.0,3.0
19229,1.0,1.0,5.0,3.0
19258,4.0,1.0,2.0,1.0
19344,,,1.0,1.0
19371,2.0,2.0,,
19435,,,12.0,5.0
19563,,,6.0,5.0
19629,,,1.0,1.0
19674,,,35.0,6.0
19677,1.0,1.0,1.0,1.0
19715,,,13.0,5.0
19763,,,1.0,1.0
19782,4.0,2.0,1.0,1.0
19796,2.0,2.0,2.0,2.0
19846,,,2.0,2.0
19925,37.0,2.0,2.0,2.0
19971,241.0,4.0,34.0,4.0
20017,,,1.0,1.0
20125,91.0,2.0,166.0,3.0
20128,7.0,1.0,1.0,1.0
20158,10.0,1.0,1.0,1.0
20198,,,61.0,7.0
20203,17.0,3.0,17.0,3.0
20211,,,1.0,1.0
20267,81.0,2.0,2.0,2.0
20270,722.0,4.0,67.0,4.0
20291,386.0,3.0,14.0,4.0
20301,3.0,1.0,1.0,1.0
20320,26.0,1.0,1.0,1.0
20369,17.0,3.0,3.0,3.0
20465,43.0,1.0,1.0,1.0
20485,,,2.0,1.0
20526,,,1.0,1.0
20593,,,38.0,8.0
20600,,,91.0,8.0
20685,75.0,2.0,5.0,2.0
20707,,,262.0,8.0
20831,23.0,2.0,9.0,4.0
20857,3.0,1.0,1.0,1.0
20922,91.0,2.0,18.0,4.0
20957,,,4.0,1.0
21200,,,1.0,1.0
21209,34.0,4.0,9.0,4.0
21234,,,3.0,2.0
21315,,,7.0,1.0
21328,2.0,1.0,1.0,1.0
21331,27.0,4.0,4.0,4.0
21370,,,38.0,6.0
21565,7.0,1.0,2.0,1.0
21612,,,2.0,1.0
21623,6.0,1.0,1.0,1.0
21640,13.0,2.0,3.0,2.0
21739,1.0,1.0,1.0,1.0
21786,2015.0,6.0,143.0,6.0
21823,1.0,1.0,,
21855,,,1.0,1.0
22139,2.0,1.0,1.0,1.0
22142,,,1.0,1.0
22312,,,4.0,3.0
22389,,,4.0,3.0
22504,10.0,1.0,12.0,2.0
22513,53.0,4.0,5.0,4.0
22542,22.0,2.0,4.0,2.0
22565,25.0,3.0,14.0,3.0
22589,,,7.0,4.0
22624,,,9.0,3.0
22798,59.0,2.0,4.0,2.0
22931,8.0,1.0,1.0,1.0
23007,8.0,1.0,2.0,1.0
23018,10.0,1.0,1.0,1.0
23091,157.0,3.0,44.0,5.0
23297,1352.0,4.0,409.0,4.0
23452,9.0,2.0,2.0,2.0
23520,,,2.0,1.0
23556,145.0,2.0,7.0,3.0
23588,1.0,1.0,1.0,1.0
23598,45.0,1.0,1.0,1.0
23647,,,14.0,2.0
23685,,,2.0,2.0
23696,125.0,2.0,54.0,4.0
23746,3.0,1.0,2.0,1.0
24029,116.0,4.0,4.0,4.0
24071,,,1.0,1.0
24076,,,1.0,1.0
24270,4.0,1.0,1.0,1.0
24338,,,13.0,5.0
24521,,,263.0,8.0
24754,21.0,3.0,75.0,5.0
25160,,,59.0,6.0
25282,3.0,1.0,1.0,1.0
25298,34.0,2.0,2.0,2.0
25480,798.0,4.0,122.0,4.0
25718,,,66.0,7.0
25879,34.0,1.0,1.0,1.0
25945,1.0,1.0,362.0,7.0
25948,,,47.0,1.0
25990,,,2.0,2.0
26019,,,1.0,1.0
26067,1.0,1.0,,
26121,,,12.0,1.0
26232,1.0,1.0,,
26256,1.0,1.0,3.0,1.0
26296,,,17.0,3.0
26317,38.0,1.0,1.0,1.0
26376,2.0,2.0,2.0,2.0
26432,1.0,1.0,1.0,1.0
26435,,,1.0,1.0
26439,6.0,1.0,1.0,1.0
26473,,,10.0,6.0
26610,120.0,3.0,66.0,7.0
26631,1.0,1.0,1.0,1.0
26738,,,7.0,3.0
26775,11.0,1.0,1.0,1.0
26905,,,243.0,8.0
26926,,,3.0,1.0
26992,,,16.0,2.0
27034,,,2.0,1.0
27047,,,23.0,8.0
27201,1.0,1.0,3.0,1.0
27212,88.0,4.0,23.0,4.0
27227,,,10.0,5.0
27263,,,6.0,3.0
27291,1.0,1.0,1.0,1.0
27331,20.0,1.0,1.0,1.0
27457,3.0,1.0,1.0,1.0
27477,,,1.0,1.0
27491,1.0,1.0,1.0,1.0
27501,9.0,2.0,2.0,2.0
27539,109.0,2.0,14.0,3.0
27625,32.0,3.0,8.0,3.0
27743,,,1.0,1.0
27908,54.0,2.0,39.0,6.0
28037,745.0,4.0,612.0,5.0
28049,,,1.0,1.0
28104,3.0,1.0,5.0,3.0
28258,,,12.0,4.0
28348,21.0,3.0,6.0,3.0
28364,,,17.0,7.0
28402,23.0,1.0,1.0,1.0
28579,9.0,2.0,3.0,2.0
28688,,,15.0,6.0
28726,66.0,4.0,197.0,5.0
28775,,,1.0,1.0
28920,,,3.0,1.0
29010,,,1.0,1.0
29047,1.0,1.0,1.0,1.0
29057,2.0,1.0,1.0,1.0
29066,254.0,2.0,39.0,2.0
29074,302.0,3.0,36.0,3.0
29091,,,27.0,7.0
29153,,,3.0,1.0
29177,45.0,2.0,2.0,2.0
29207,2.0,1.0,1.0,1.0
29219,135.0,1.0,2.0,1.0
29248,20.0,1.0,4.0,1.0
29310,606.0,3.0,4.0,3.0
29323,895.0,4.0,17.0,4.0
29392,266.0,2.0,276.0,8.0
29394,9.0,1.0,1.0,1.0
29452,,,1.0,1.0
29461,2.0,1.0,1.0,1.0
29500,,,2.0,1.0
29602,1.0,1.0,1.0,1.0
29729,,,177.0,5.0
29735,363.0,4.0,4.0,4.0
29792,,,1.0,1.0
29814,33.0,1.0,24.0,1.0
29864,117.0,2.0,23.0,3.0
29935,,,14.0,4.0
29949,35.0,1.0,1.0,1.0
30064,38.0,1.0,1.0,1.0
30084,9.0,1.0,1.0,1.0
30206,2.0,1.0,,
30284,,,2.0,2.0
30402,1.0,1.0,1.0,1.0
30467,,,1.0,1.0
30479,60.0,3.0,6.0,3.0
30502,211.0,2.0,15.0,2.0
30597,,,1.0,1.0
30649,,,10.0,2.0
30731,6.0,3.0,9.0,4.0
30820,,,28.0,1.0
30825,4.0,2.0,18.0,4.0
30927,67.0,2.0,3.0,2.0
30938,,,1.0,1.0
30968,10.0,4.0,5.0,4.0
30981,1.0,1.0,1.0,1.0
31006,4.0,1.0,1.0,1.0
31014,4.0,1.0,2.0,2.0
31034,297.0,4.0,32.0,4.0
31076,44.0,3.0,23.0,4.0
31080,31.0,1.0,29.0,2.0
31092,,,1.0,1.0
31131,29.0,1.0,1.0,1.0
31167,26.0,2.0,2.0,2.0
31205,1.0,1.0,1.0,1.0
31243,9.0,2.0,5.0,2.0
31262,26.0,1.0,1.0,1.0
31305,2.0,1.0,1.0,1.0
31367,10.0,3.0,49.0,4.0
31371,1.0,1.0,1.0,1.0
31462,2.0,1.0,1.0,1.0
31507,,,21.0,3.0
31511,31.0,4.0,5.0,4.0
31541,1.0,1.0,1.0,1.0
31566,1.0,1.0,1.0,1.0
31570,109.0,1.0,9.0,2.0
31576,,,1.0,1.0
31582,2.0,1.0,2.0,1.0
31672,1.0,1.0,1.0,1.0
31677,93.0,2.0,4.0,2.0
31696,30.0,1.0,,
31756,1.0,1.0,1.0,1.0
31774,3.0,1.0,,
31825,,,2.0,1.0
31833,,,18.0,1.0
32015,1.0,1.0,1.0,1.0
32092,2.0,1.0,1.0,1.0
32114,39.0,3.0,3.0,3.0
32151,,,1.0,1.0
32269,3.0,3.0,4.0,3.0
32349,6.0,1.0,1.0,1.0
32371,18.0,1.0,1.0,1.0
32389,33.0,3.0,15.0,3.0
32423,1.0,1.0,1.0,1.0
32433,15.0,3.0,3.0,3.0
32435,2.0,1.0,,
32455,,,294.0,8.0
32544,30.0,2.0,5.0,2.0
32563,,,19.0,2.0
32580,1.0,1.0,1.0,1.0
32591,,,1.0,1.0
32597,36.0,3.0,4.0,3.0
32603,880.0,4.0,9.0,4.0
32604,34.0,1.0,1.0,1.0
32652,,,2.0,2.0
32680,3.0,2.0,2.0,2.0
32753,,,1.0,1.0
32761,88.0,2.0,66.0,2.0
32763,700.0,3.0,305.0,4.0
32764,80.0,1.0,7.0,2.0
32774,17.0,1.0,1.0,1.0
32779,70.0,3.0,3.0,3.0
32786,1.0,1.0,1.0,1.0
