identifier,sum,count
17695,2811,9
179103,2711,8
425620,1506,4
1,1282,10
510442,1202,11
52839,1095,10
13377,1061,5
427782,1058,6
81261,996,8
8778,959,6
80984,939,6
419371,903,11
220795,893,9
73705,859,9
735311,829,3
12809,825,8
28,822,10
165078,708,10
2692,689,6
677256,688,11
290522,654,8
17630,650,7
209572,632,6
2991,617,9
28037,612,5
699883,609,11
35076,604,8
1850,603,5
10814,559,4
854537,542,11
113689,533,8
97992,526,9
16131,521,8
477,518,10
74669,517,4
34038,507,5
43815,477,11
1694403,465,8
180811,451,11
108264,417,8
728009,417,4
23297,409,4
81779,407,6
444470,403,4
819,402,6
41234,398,8
115129,393,9
346436,390,8
1772002,383,8
133261,381,7
548881,371,4
828394,371,5
3494,370,7
425992,366,9
2616,365,8
25945,362,7
242224,362,11
264861,361,8
894051,357,3
1686028,350,10
2509089,349,9
12497,347,5
281095,340,8
275891,336,10
39752,334,8
6971,329,9
438488,327,11
1163777,322,8
1598908,317,7
170354,316,8
294211,314,5
704502,308,7
32763,305,4
15206,301,3
80445,301,4
1056080,300,9
3809,299,4
11060,298,8
59227,297,11
147030,296,4
152894,296,4
32455,294,8
472970,292,9
19073,289,11
203848,288,2
10787,286,9
141551,284,8
477643,281,11
1831095,277,10
29392,276,8
210826,274,5
3558,274,4
279834,274,5
270365,274,11
2179,271,6
146986,270,5
442615,265,6
24521,263,8
756324,262,5
20707,262,8
896378,262,5
67428,259,10
3785,256,9
1488476,255,2
398213,252,5
1442162,251,11
1052604,248,8
560165,244,8
26905,243,8
16101,241,4
614583,239,7
160,238,5
1082970,238,11
217955,236,9
81635,233,1
1020162,230,11
39264,229,5
306991,228,8
1415559,228,2
507754,226,8
38530,224,6
392423,213,4
741608,208,9
622636,205,7
476404,202,9
15030,201,9
28726,197,5
399948,196,10
380284,196,5
59233,196,11
94012,191,8
1263262,186,6
2413764,184,8
168642,182,3
1002688,177,5
526853,177,3
29729,177,5
593075,176,8
2470671,175,4
146517,172,4
318515,170,8
1599036,168,2
395294,167,5
20125,166,3
463097,166,9
781032,162,8
703773,160,11
996996,160,6
78845,160,4
421748,158,7
11882,157,2
7302,156,4
205278,155,11
103610,155,3
1530852,155,11
541146,153,5
769610,153,9
1743320,151,8
3057,150,4
726060,149,11
490794,148,9
440756,148,8
766577,147,11
3563,145,6
300745,143,2
1754070,143,3
21786,143,6
216168,143,11
340222,141,8
149551,141,2
725571,139,4
1125668,139,8
405954,138,7
4915,137,7
182135,137,4
213838,136,6
71824,136,5
94051,135,8
12636,135,8
1365659,133,10
1120841,133,5
51061,133,8
1542326,132,5
48178,132,8
86412,131,5
435874,131,8
409010,130,8
284060,130,7
550722,129,9
1529544,127,7
1988837,127,1
4862,126,3
10285,126,9
2917974,125,4
