identifier,ident_count,city,year
160,59,London,2018
147030,54,London,2018
677256,31,London,2018
29729,30,London,2018
894051,29,London,2018
1005840,26,London,2018
664459,24,London,2018
854537,23,London,2018
910492,23,London,2018
1835073,21,London,2018
506327,21,London,2018
384930,19,London,2018
173306,18,London,2018
3320,17,London,2018
346436,16,London,2018
743476,16,London,2018
599476,16,London,2018
534826,15,London,2018
464262,14,London,2018
1082970,14,London,2018
405954,14,London,2018
425992,13,London,2018
790453,13,London,2018
140664,12,London,2018
1002688,12,London,2018
97992,12,London,2018
137006,12,London,2018
186163,11,London,2018
615980,11,London,2018
477643,10,London,2018
3098,10,London,2018
42615,10,London,2018
2413764,10,London,2018
404218,10,London,2018
911227,9,London,2018
1598908,9,London,2018
1006407,9,London,2018
1567800,8,London,2018
2108800,8,London,2018
59233,8,London,2018
351,8,London,2018
702174,8,London,2018
66366,7,London,2018
385982,7,London,2018
353381,7,London,2018
323851,7,London,2018
180811,6,London,2018
703773,6,London,2018
1775428,6,London,2018
960916,6,London,2018
915251,6,London,2018
490794,6,London,2018
811841,5,London,2018
1422753,5,London,2018
1402798,5,London,2018
743099,5,London,2018
766577,5,London,2018
778825,5,London,2018
898798,5,London,2018
205067,5,London,2018
440756,5,London,2018
906473,5,London,2018
367038,5,London,2018
921545,5,London,2018
1442162,5,London,2018
250566,5,London,2018
43815,5,London,2018
836114,4,London,2018
22624,4,London,2018
1790012,4,London,2018
858865,4,London,2018
409010,4,London,2018
1142264,4,London,2018
1161364,4,London,2018
606457,4,London,2018
662980,4,London,2018
614374,4,London,2018
741671,4,London,2018
1530852,4,London,2018
726060,4,London,2018
725272,4,London,2018
84276,4,London,2018
411745,3,London,2018
923113,3,London,2018
921393,3,London,2018
350459,3,London,2018
863566,3,London,2018
1769719,3,London,2018
2175625,3,London,2018
1853409,3,London,2018
419371,3,London,2018
438488,3,London,2018
216168,3,London,2018
3113652,3,London,2018
84719,3,London,2018
779051,3,London,2018
789609,3,London,2018
1920385,3,London,2018
130384,3,London,2018
53860,3,London,2018
773414,3,London,2018
19073,3,London,2018
2143429,3,London,2018
160927,3,London,2018
165078,3,London,2018
213733,3,London,2018
908946,2,London,2018
915036,2,London,2018
908366,2,London,2018
11861,2,London,2018
909491,2,London,2018
1958129,2,London,2018
917977,2,London,2018
915491,2,London,2018
17695,2,London,2018
2067975,2,London,2018
1471889,2,London,2018
890918,2,London,2018
472970,2,London,2018
724142,2,London,2018
724460,2,London,2018
477,2,London,2018
2880578,2,London,2018
747360,2,London,2018
484,2,London,2018
758614,2,London,2018
2803308,2,London,2018
2626695,2,London,2018
783022,2,London,2018
3785,2,London,2018
796473,2,London,2018
815076,2,London,2018
4859,2,London,2018
2426747,2,London,2018
530659,2,London,2018
6432,2,London,2018
863366,2,London,2018
476404,2,London,2018
330465,2,London,2018
3270248,2,London,2018
921493,2,London,2018
930048,2,London,2018
1553779,2,London,2018
267639,2,London,2018
923147,2,London,2018
925884,2,London,2018
1304002,2,London,2018
1257588,2,London,2018
1234247,2,London,2018
59227,2,London,2018
1121899,2,London,2018
175837,2,London,2018
999066,2,London,2018
31825,2,London,2018
1722768,2,London,2018
1020162,2,London,2018
1369015,2,London,2018
242224,2,London,2018
1396564,2,London,2018
1451786,2,London,2018
275891,2,London,2018
1509945,2,London,2018
1440491,2,London,2018
271647,2,London,2018
270500,2,London,2018
307268,2,London,2018
105240,1,London,2018
175865,1,London,2018
68954,1,London,2018
601645,1,London,2018
599593,1,London,2018
577097,1,London,2018
179277,1,London,2018
81949,1,London,2018
37913,1,London,2018
33609,1,London,2018
527710,1,London,2018
63584,1,London,2018
517807,1,London,2018
4079,1,London,2018
699883,1,London,2018
169494,1,London,2018
140956,1,London,2018
121021,1,London,2018
662120,1,London,2018
462,1,London,2018
661392,1,London,2018
2111,1,London,2018
631947,1,London,2018
5643,1,London,2018
168545,1,London,2018
678997,1,London,2018
616669,1,London,2018
52839,1,London,2018
697682,1,London,2018
159021,1,London,2018
166761,1,London,2018
512793,1,London,2018
491170,1,London,2018
32455,1,London,2018
510442,1,London,2018
263220,1,London,2018
264427,1,London,2018
14818,1,London,2018
399851,1,London,2018
15745,1,London,2018
397396,1,London,2018
395425,1,London,2018
270365,1,London,2018
384954,1,London,2018
18701,1,London,2018
68722,1,London,2018
382378,1,London,2018
369892,1,London,2018
278671,1,London,2018
366926,1,London,2018
287950,1,London,2018
321478,1,London,2018
20017,1,London,2018
333666,1,London,2018
252354,1,London,2018
708087,1,London,2018
10787,1,London,2018
463035,1,London,2018
495142,1,London,2018
331926,1,London,2018
6971,1,London,2018
481077,1,London,2018
205071,1,London,2018
28688,1,London,2018
471631,1,London,2018
8506,1,London,2018
205278,1,London,2018
10564,1,London,2018
454115,1,London,2018
450053,1,London,2018
447269,1,London,2018
8882,1,London,2018
10285,1,London,2018
217955,1,London,2018
435296,1,London,2018
430671,1,London,2018
384633,1,London,2018
851858,1,London,2018
723120,1,London,2018
1369322,1,London,2018
1290751,1,London,2018
1305207,1,London,2018
1309897,1,London,2018
1311365,1,London,2018
1330762,1,London,2018
1355780,1,London,2018
1362207,1,London,2018
1384523,1,London,2018
1546239,1,London,2018
1388334,1,London,2018
1390992,1,London,2018
1427160,1,London,2018
1430839,1,London,2018
1453678,1,London,2018
1475331,1,London,2018
1508266,1,London,2018
1281677,1,London,2018
1279606,1,London,2018
1271780,1,London,2018
1178311,1,London,2018
924014,1,London,2018
925697,1,London,2018
927540,1,London,2018
927759,1,London,2018
927911,1,London,2018
952409,1,London,2018
963377,1,London,2018
965454,1,London,2018
1032700,1,London,2018
1079214,1,London,2018
1097120,1,London,2018
1103606,1,London,2018
1106349,1,London,2018
1125847,1,London,2018
1167914,1,London,2018
1540795,1,London,2018
1625055,1,London,2018
728903,1,London,2018
2554773,1,London,2018
2155887,1,London,2018
2164172,1,London,2018
2322362,1,London,2018
2352919,1,London,2018
2416260,1,London,2018
2437951,1,London,2018
2531806,1,London,2018
2567895,1,London,2018
1642012,1,London,2018
2669282,1,London,2018
2835215,1,London,2018
2875686,1,London,2018
2926001,1,London,2018
2928255,1,London,2018
3028032,1,London,2018
3059808,1,London,2018
2093755,1,London,2018
2089713,1,London,2018
2081250,1,London,2018
2072865,1,London,2018
1656170,1,London,2018
1660558,1,London,2018
1693088,1,London,2018
1717105,1,London,2018
1721017,1,London,2018
1738659,1,London,2018
1754070,1,London,2018
1804108,1,London,2018
1829267,1,London,2018
1908828,1,London,2018
1975866,1,London,2018
1980550,1,London,2018
1990137,1,London,2018
2028662,1,London,2018
2032730,1,London,2018
923300,1,London,2018
922489,1,London,2018
922307,1,London,2018
870081,1,London,2018
847864,1,London,2018
850195,1,London,2018
3236772,1,London,2018
860319,1,London,2018
862154,1,London,2018
868893,1,London,2018
869384,1,London,2018
870889,1,London,2018
922075,1,London,2018
875466,1,London,2018
883351,1,London,2018
883928,1,London,2018
885578,1,London,2018
885622,1,London,2018
888635,1,London,2018
892166,1,London,2018
844462,1,London,2018
842874,1,London,2018
839304,1,London,2018
828927,1,London,2018
731402,1,London,2018
735917,1,London,2018
736005,1,London,2018
741910,1,London,2018
749022,1,London,2018
749290,1,London,2018
749650,1,London,2018
765950,1,London,2018
769610,1,London,2018
777896,1,London,2018
780527,1,London,2018
781146,1,London,2018
781202,1,London,2018
816909,1,London,2018
825087,1,London,2018
892220,1,London,2018
892862,1,London,2018
902635,1,London,2018
915383,1,London,2018
916101,1,London,2018
918461,1,London,2018
919399,1,London,2018
919546,1,London,2018
919901,1,London,2018
921248,1,London,2018
921504,1,London,2018
921507,1,London,2018
921513,1,London,2018
921568,1,London,2018
921683,1,London,2018
921689,1,London,2018
921721,1,London,2018
921731,1,London,2018
921828,1,London,2018
915719,1,London,2018
915190,1,London,2018
903018,1,London,2018
915088,1,London,2018
