observer,obs_count,city,year
353381,567,London,2018
664459,150,London,2018
911337,125,London,2018
883351,97,London,2018
781146,95,London,2018
923147,88,London,2018
908569,85,London,2018
898798,75,London,2018
910492,67,London,2018
921393,66,London,2018
205067,64,London,2018
894051,58,London,2018
911227,51,London,2018
915251,49,London,2018
906473,47,London,2018
921545,43,London,2018
63584,38,London,2018
917977,35,London,2018
903018,34,London,2018
783022,32,London,2018
147030,30,London,2018
916101,29,London,2018
14818,28,London,2018
921731,28,London,2018
137006,28,London,2018
915491,27,London,2018
735917,27,London,2018
796473,26,London,2018
892220,26,London,2018
919901,25,London,2018
911413,23,London,2018
915036,22,London,2018
159021,21,London,2018
924014,21,London,2018
890918,21,London,2018
919399,20,London,2018
885578,19,London,2018
918461,18,London,2018
904797,17,London,2018
915190,17,London,2018
921504,17,London,2018
811841,16,London,2018
910816,15,London,2018
484,15,London,2018
923113,14,London,2018
909491,14,London,2018
911520,11,London,2018
921493,10,London,2018
908374,9,London,2018
915523,9,London,2018
906050,9,London,2018
912217,7,London,2018
919546,7,London,2018
921248,7,London,2018
863366,6,London,2018
885622,6,London,2018
923300,6,London,2018
411745,6,London,2018
922489,6,London,2018
915719,5,London,2018
921828,5,London,2018
862154,5,London,2018
870081,5,London,2018
927540,4,London,2018
765950,4,London,2018
925697,4,London,2018
921507,3,London,2018
908315,3,London,2018
921513,3,London,2018
922307,3,London,2018
892166,3,London,2018
908366,3,London,2018
839304,2,London,2018
870889,2,London,2018
915383,2,London,2018
902635,2,London,2018
921721,2,London,2018
397396,2,London,2018
894472,2,London,2018
2111,2,London,2018
435296,1,London,2018
925884,1,London,2018
454115,1,London,2018
927759,1,London,2018
930130,1,London,2018
463035,1,London,2018
959280,1,London,2018
546990,1,London,2018
925368,1,London,2018
963377,1,London,2018
915088,1,London,2018
885619,1,London,2018
923235,1,London,2018
921568,1,London,2018
911995,1,London,2018
910982,1,London,2018
2072865,1,London,2018
909111,1,London,2018
908915,1,London,2018
908252,1,London,2018
921599,1,London,2018
922312,1,London,2018
921689,1,London,2018
888635,1,London,2018
922075,1,London,2018
868893,1,London,2018
850195,1,London,2018
825087,1,London,2018
2089713,1,London,2018
353381,1085,London,2019
1358449,219,London,2019
923147,202,London,2019
894051,163,London,2019
781146,145,London,2019
796473,125,London,2019
1657945,120,London,2019
1653354,113,London,2019
908366,107,London,2019
811841,101,London,2019
1656262,100,London,2019
1488476,93,London,2019
1245075,84,London,2019
923984,81,London,2019
783022,80,London,2019
1680928,76,London,2019
137006,71,London,2019
1670296,69,London,2019
1366416,54,London,2019
1680500,54,London,2019
1656289,50,London,2019
159021,50,London,2019
921828,48,London,2019
1367814,48,London,2019
1696420,47,London,2019
1663808,46,London,2019
1669992,44,London,2019
1660169,42,London,2019
1672319,42,London,2019
1261801,42,London,2019
1670095,39,London,2019
885619,38,London,2019
1501284,38,London,2019
1689260,38,London,2019
1684746,37,London,2019
1622501,36,London,2019
1688879,35,London,2019
883351,33,London,2019
1677401,31,London,2019
1669656,31,London,2019
1298821,30,London,2019
1636662,30,London,2019
844462,30,London,2019
1624432,29,London,2019
1690226,28,London,2019
1677745,28,London,2019
1688908,27,London,2019
1670024,27,London,2019
1670953,27,London,2019
1680671,26,London,2019
1656460,25,London,2019
1663529,23,London,2019
1583947,23,London,2019
1663746,22,London,2019
1688961,21,London,2019
1656170,20,London,2019
1666984,19,London,2019
1624070,19,London,2019
1666955,18,London,2019
1690243,18,London,2019
735917,18,London,2019
842327,18,London,2019
1570176,18,London,2019
1675745,18,London,2019
1715870,17,London,2019
1675067,17,London,2019
1676345,17,London,2019
1681576,15,London,2019
1672448,15,London,2019
902540,15,London,2019
1672916,15,London,2019
992892,14,London,2019
664459,13,London,2019
1689931,13,London,2019
1181272,13,London,2019
1133372,13,London,2019
1606588,13,London,2019
1675130,13,London,2019
1689478,12,London,2019
1616915,12,London,2019
1663302,11,London,2019
1675237,11,London,2019
1675724,11,London,2019
1671384,11,London,2019
908252,11,London,2019
1695874,10,London,2019
1617064,10,London,2019
1646196,10,London,2019
1688726,10,London,2019
1690146,10,London,2019
1617933,10,London,2019
1680805,10,London,2019
1690216,9,London,2019
1549714,9,London,2019
1682356,9,London,2019
1297026,9,London,2019
1670644,9,London,2019
1669840,8,London,2019
1690154,8,London,2019
1670696,8,London,2019
277864,7,London,2019
1670651,7,London,2019
1670087,7,London,2019
1651706,7,London,2019
908569,7,London,2019
1281677,7,London,2019
908315,7,London,2019
1595601,7,London,2019
1542653,6,London,2019
1549723,6,London,2019
1675053,6,London,2019
885622,6,London,2019
1432092,6,London,2019
1613966,6,London,2019
1674215,5,London,2019
1681458,5,London,2019
1675227,5,London,2019
1675600,4,London,2019
1474650,4,London,2019
1690531,4,London,2019
1690398,4,London,2019
550595,4,London,2019
1393573,4,London,2019
1699379,4,London,2019
1574197,4,London,2019
1676198,4,London,2019
1675423,4,London,2019
1675212,4,London,2019
1690043,4,London,2019
1674955,4,London,2019
1626775,4,London,2019
657977,4,London,2019
63584,3,London,2019
925368,3,London,2019
923300,3,London,2019
1032427,3,London,2019
915251,3,London,2019
1608441,3,London,2019
1343226,3,London,2019
1365267,3,London,2019
1621963,3,London,2019
1501302,3,London,2019
1572584,3,London,2019
1595603,3,London,2019
1616981,3,London,2019
1615403,3,London,2019
1634940,3,London,2019
13244,3,London,2019
1680506,3,London,2019
1712528,3,London,2019
1690929,3,London,2019
1682723,3,London,2019
1662456,3,London,2019
1674137,3,London,2019
1665840,3,London,2019
1677181,3,London,2019
1681439,3,London,2019
1685811,3,London,2019
1683777,3,London,2019
1634747,2,London,2019
911413,2,London,2019
1712477,2,London,2019
1589594,2,London,2019
911227,2,London,2019
1680796,2,London,2019
1681295,2,London,2019
878919,2,London,2019
1674524,2,London,2019
1530730,2,London,2019
1681178,2,London,2019
1681101,2,London,2019
1680869,2,London,2019
1680921,2,London,2019
1696387,2,London,2019
1681004,2,London,2019
1693088,2,London,2019
1613781,2,London,2019
1450851,2,London,2019
1746941,2,London,2019
1445110,2,London,2019
1079727,2,London,2019
1684845,2,London,2019
1623686,2,London,2019
1623674,2,London,2019
1622151,2,London,2019
260910,2,London,2019
1137074,2,London,2019
397396,2,London,2019
454115,2,London,2019
1983429,2,London,2019
1689430,2,London,2019
1683630,2,London,2019
1616681,2,London,2019
1616233,2,London,2019
1674516,2,London,2019
1686017,1,London,2019
1690758,1,London,2019
1688742,1,London,2019
1690105,1,London,2019
1690945,1,London,2019
948622,1,London,2019
977391,1,London,2019
1690163,1,London,2019
919443,1,London,2019
1699740,1,London,2019
1691193,1,London,2019
1697437,1,London,2019
3314237,1,London,2019
3110080,1,London,2019
3026711,1,London,2019
215911,1,London,2019
2828290,1,London,2019
2360589,1,London,2019
493588,1,London,2019
538733,1,London,2019
547132,1,London,2019
626394,1,London,2019
1922638,1,London,2019
1765251,1,London,2019
673999,1,London,2019
1754995,1,London,2019
1723252,1,London,2019
794099,1,London,2019
820740,1,London,2019
1706529,1,London,2019
1006040,1,London,2019
854727,1,London,2019
880282,1,London,2019
1699582,1,London,2019
1698407,1,London,2019
1685614,1,London,2019
1682133,1,London,2019
1685189,1,London,2019
1033596,1,London,2019
1677019,1,London,2019
1676314,1,London,2019
1674622,1,London,2019
1674540,1,London,2019
1614645,1,London,2019
1614885,1,London,2019
1615211,1,London,2019
1616338,1,London,2019
1673192,1,London,2019
1672936,1,London,2019
1670072,1,London,2019
1618069,1,London,2019
1618774,1,London,2019
1618856,1,London,2019
1619976,1,London,2019
1620172,1,London,2019
1620831,1,London,2019
1620842,1,London,2019
1621884,1,London,2019
3366178,1,London,2019
1651630,1,London,2019
1625984,1,London,2019
1643902,1,London,2019
1677184,1,London,2019
1680348,1,London,2019
1554981,1,London,2019
1361699,1,London,2019
1093344,1,London,2019
1098815,1,London,2019
1157046,1,London,2019
1684560,1,London,2019
1193188,1,London,2019
1257486,1,London,2019
1286928,1,London,2019
1629837,1,London,2019
1681827,1,London,2019
1681476,1,London,2019
1681214,1,London,2019
1680681,1,London,2019
1409685,1,London,2019
1681047,1,London,2019
1445722,1,London,2019
1468944,1,London,2019
1476886,1,London,2019
1680973,1,London,2019
1494911,1,London,2019
1514738,1,London,2019
1524336,1,London,2019
1680773,1,London,2019
3809444,1,London,2019
1488476,355,London,2020
2782355,299,London,2020
353381,274,London,2020
1624432,185,London,2020
908569,183,London,2020
2835215,161,London,2020
159021,134,London,2020
1653354,131,London,2020
2829130,131,London,2020
2838930,119,London,2020
894051,99,London,2020
2835206,99,London,2020
865767,96,London,2020
1298821,85,London,2020
2834670,76,London,2020
205067,71,London,2020
2832267,67,London,2020
2101065,65,London,2020
2850180,64,London,2020
883351,61,London,2020
2838078,58,London,2020
2828290,54,London,2020
915251,53,London,2020
2788364,51,London,2020
1742316,45,London,2020
2859418,43,London,2020
1366416,43,London,2020
2788376,43,London,2020
2799476,41,London,2020
1990769,40,London,2020
2799394,39,London,2020
2815581,35,London,2020
2830482,33,London,2020
1501274,33,London,2020
2742755,32,London,2020
2777453,31,London,2020
2818368,30,London,2020
1297026,30,London,2020
1617933,29,London,2020
2850091,29,London,2020
2845989,28,London,2020
2827936,28,London,2020
2824652,28,London,2020
2835097,27,London,2020
270365,26,London,2020
2831479,24,London,2020
2770560,24,London,2020
2852115,24,London,2020
2790206,24,London,2020
662120,24,London,2020
2778603,23,London,2020
2849966,23,London,2020
2787392,22,London,2020
898798,22,London,2020
2853175,21,London,2020
2839429,20,London,2020
921828,20,London,2020
2826172,20,London,2020
2825871,20,London,2020
2798148,19,London,2020
2832838,19,London,2020
2839614,17,London,2020
2834698,17,London,2020
2850217,17,London,2020
2863283,17,London,2020
2831307,16,London,2020
640377,16,London,2020
2829139,16,London,2020
870322,16,London,2020
2837742,16,London,2020
2828087,15,London,2020
2840952,15,London,2020
2777631,14,London,2020
2840698,14,London,2020
390106,14,London,2020
2814937,14,London,2020
2859652,14,London,2020
1321488,14,London,2020
2813948,13,London,2020
2830652,13,London,2020
1583118,13,London,2020
908795,13,London,2020
2863258,13,London,2020
2826866,13,London,2020
2817017,13,London,2020
2831859,13,London,2020
2819563,13,London,2020
1150602,13,London,2020
1659957,12,London,2020
2807889,12,London,2020
2841682,12,London,2020
1631190,12,London,2020
910816,12,London,2020
2859678,12,London,2020
2849956,12,London,2020
137006,12,London,2020
1884527,12,London,2020
540821,12,London,2020
2839476,12,London,2020
710457,12,London,2020
2824349,12,London,2020
2339899,11,London,2020
885619,11,London,2020
2831540,11,London,2020
2850491,11,London,2020
2843396,11,London,2020
1501272,11,London,2020
2839676,11,London,2020
2791483,11,London,2020
2826632,10,London,2020
2785054,10,London,2020
908366,10,London,2020
2781763,9,London,2020
2826291,9,London,2020
922489,9,London,2020
2839559,9,London,2020
2827568,9,London,2020
2843572,9,London,2020
2737313,9,London,2020
1814315,9,London,2020
2159569,9,London,2020
1672448,9,London,2020
1978555,9,London,2020
2825737,8,London,2020
2835448,8,London,2020
2446821,8,London,2020
1281677,8,London,2020
2816324,8,London,2020
2827504,8,London,2020
2840961,7,London,2020
2850354,7,London,2020
2850326,7,London,2020
2831839,7,London,2020
2826711,7,London,2020
849786,7,London,2020
2420521,7,London,2020
2849458,7,London,2020
911413,7,London,2020
2826875,7,London,2020
2863958,7,London,2020
2826931,7,London,2020
2792389,6,London,2020
3106728,6,London,2020
2852701,6,London,2020
397396,6,London,2020
2788304,6,London,2020
2792428,6,London,2020
2820711,6,London,2020
454115,6,London,2020
2826756,6,London,2020
2758538,6,London,2020
2770214,6,London,2020
2860994,6,London,2020
2843733,6,London,2020
2728082,6,London,2020
2830911,6,London,2020
2700306,6,London,2020
2791462,6,London,2020
2378418,6,London,2020
2850174,6,London,2020
2820426,6,London,2020
2850293,6,London,2020
2839302,6,London,2020
2111982,5,London,2020
